Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(6189448k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
13.996: [GC (Allocation Failure) [PSYoungGen: 33440K->224K(38400K)] 76762K->43570K(125952K), 0.0037481 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
14.262: [GC (Allocation Failure) [PSYoungGen: 33504K->352K(38400K)] 76850K->43722K(125952K), 0.0037957 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
14.502: [GC (Allocation Failure) [PSYoungGen: 33632K->416K(38400K)] 77002K->43802K(125952K), 0.0043911 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
14.703: [GC (Allocation Failure) [PSYoungGen: 33696K->384K(38400K)] 77082K->43786K(125952K), 0.0042876 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
14.917: [GC (Allocation Failure) [PSYoungGen: 33664K->384K(38400K)] 77066K->43802K(125952K), 0.0044946 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
15.129: [GC (Allocation Failure) [PSYoungGen: 33664K->352K(38400K)] 77082K->43794K(125952K), 0.0034415 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.428: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77074K->43802K(125952K), 0.0041796 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.653: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77082K->43818K(125952K), 0.0046977 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
15.856: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77098K->43826K(125952K), 0.0053679 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.072: [GC (Allocation Failure) [PSYoungGen: 33632K->384K(38400K)] 77106K->43882K(125952K), 0.0042227 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.336: [GC (Allocation Failure) [PSYoungGen: 33664K->352K(38400K)] 77162K->43866K(125952K), 0.0039789 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.591: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77146K->43866K(125952K), 0.0033823 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.814: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77146K->43874K(125952K), 0.0035685 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
17.419: [GC (Allocation Failure) [PSYoungGen: 33632K->320K(38400K)] 77154K->43858K(125952K), 0.0051945 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
17.689: [GC (Allocation Failure) [PSYoungGen: 33599K->288K(38400K)] 77138K->43866K(125952K), 0.0042527 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.942: [GC (Allocation Failure) [PSYoungGen: 33568K->256K(38400K)] 77146K->43930K(125952K), 0.0045481 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
18.202: [GC (Allocation Failure) [PSYoungGen: 33536K->96K(38400K)] 77210K->43890K(125952K), 0.0039916 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
18.435: [GC (Allocation Failure) [PSYoungGen: 33373K->64K(38400K)] 77167K->43906K(125952K), 0.0050492 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
18.654: [GC (Allocation Failure) [PSYoungGen: 33344K->128K(38400K)] 77186K->43994K(125952K), 0.0071648 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
18.867: [GC (Allocation Failure) [PSYoungGen: 33408K->96K(38400K)] 77274K->43962K(125952K), 0.0049365 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
19.090: [GC (Allocation Failure) [PSYoungGen: 33376K->192K(38400K)] 77242K->44058K(125952K), 0.0051189 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
19.384: [GC (Allocation Failure) [PSYoungGen: 33472K->160K(38400K)] 77338K->44034K(125952K), 0.0038681 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
19.729: [GC (Allocation Failure) [PSYoungGen: 33439K->320K(38400K)] 77313K->44202K(125952K), 0.0045754 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.030: [GC (Allocation Failure) [PSYoungGen: 33600K->384K(38400K)] 77482K->44274K(125952K), 0.0043608 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
20.268: [GC (Allocation Failure) [PSYoungGen: 33664K->352K(38400K)] 77554K->44242K(125952K), 0.0046922 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
20.522: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77522K->44242K(125952K), 0.0041261 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
20.804: [GC (Allocation Failure) [PSYoungGen: 33632K->320K(38400K)] 77522K->44210K(125952K), 0.0054284 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.048: [GC (Allocation Failure) [PSYoungGen: 33600K->320K(38400K)] 77490K->44210K(125952K), 0.0050008 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
21.310: [GC (Allocation Failure) [PSYoungGen: 33600K->320K(38400K)] 77490K->44218K(125952K), 0.0046957 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.528: [GC (Allocation Failure) [PSYoungGen: 33600K->320K(38400K)] 77498K->44218K(125952K), 0.0049789 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
21.756: [GC (Allocation Failure) [PSYoungGen: 33600K->352K(38400K)] 77498K->44250K(125952K), 0.0043293 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
21.984: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77530K->44250K(125952K), 0.0038406 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
22.219: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77530K->44250K(125952K), 0.0042936 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.464: [GC (Allocation Failure) [PSYoungGen: 33632K->384K(38400K)] 77530K->44282K(125952K), 0.0043732 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
22.727: [GC (Allocation Failure) [PSYoungGen: 33664K->320K(38400K)] 77562K->44242K(125952K), 0.0041963 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.970: [GC (Allocation Failure) [PSYoungGen: 33600K->384K(38400K)] 77522K->44330K(125952K), 0.0050066 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.216: [GC (Allocation Failure) [PSYoungGen: 33664K->224K(38400K)] 77610K->44250K(125952K), 0.0049733 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
23.519: [GC (Allocation Failure) [PSYoungGen: 33504K->160K(38400K)] 77530K->44298K(125952K), 0.0047984 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.782: [GC (Allocation Failure) [PSYoungGen: 33440K->96K(38400K)] 77578K->44314K(125952K), 0.0044415 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
