Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(11015288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
242.294: [GC (Allocation Failure) 242.294: [DefNew: 35271K->339K(39296K), 0.0061970 secs] 79973K->45040K(126720K), 0.0063576 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
242.643: [GC (Allocation Failure) 242.643: [DefNew: 35282K->304K(39296K), 0.0054540 secs] 79984K->45021K(126720K), 0.0056029 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
242.873: [GC (Allocation Failure) 242.873: [DefNew: 35248K->268K(39296K), 0.0063119 secs] 79965K->45022K(126720K), 0.0064758 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
243.095: [GC (Allocation Failure) 243.095: [DefNew: 35212K->229K(39296K), 0.0065041 secs] 79966K->45026K(126720K), 0.0066760 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
243.331: [GC (Allocation Failure) 243.331: [DefNew: 35173K->160K(39296K), 0.0065617 secs] 79970K->45022K(126720K), 0.0068048 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
243.681: [GC (Allocation Failure) 243.681: [DefNew: 35104K->95K(39296K), 0.0060796 secs] 79966K->45025K(126720K), 0.0062548 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
243.929: [GC (Allocation Failure) 243.929: [DefNew: 35038K->84K(39296K), 0.0064174 secs] 79967K->45056K(126720K), 0.0065921 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
244.192: [GC (Allocation Failure) 244.192: [DefNew: 35028K->74K(39296K), 0.0067537 secs] 80000K->45068K(126720K), 0.0070462 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
244.493: [GC (Allocation Failure) 244.493: [DefNew: 35018K->118K(39296K), 0.0065294 secs] 80012K->45122K(126720K), 0.0067045 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
244.755: [GC (Allocation Failure) 244.755: [DefNew: 35062K->181K(39296K), 0.0066382 secs] 80066K->45187K(126720K), 0.0068309 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
245.032: [GC (Allocation Failure) 245.032: [DefNew: 35125K->251K(39296K), 0.0078863 secs] 80131K->45258K(126720K), 0.0080917 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
245.361: [GC (Allocation Failure) 245.361: [DefNew: 35195K->297K(39296K), 0.0085608 secs] 80202K->45303K(126720K), 0.0087450 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
245.597: [GC (Allocation Failure) 245.597: [DefNew: 35241K->298K(39296K), 0.0080351 secs] 80247K->45304K(126720K), 0.0082135 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
245.841: [GC (Allocation Failure) 245.841: [DefNew: 35242K->307K(39296K), 0.0086232 secs] 80248K->45314K(126720K), 0.0088218 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
246.090: [GC (Allocation Failure) 246.090: [DefNew: 35251K->296K(39296K), 0.0082925 secs] 80258K->45303K(126720K), 0.0084938 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
246.346: [GC (Allocation Failure) 246.346: [DefNew: 35240K->306K(39296K), 0.0083980 secs] 80247K->45313K(126720K), 0.0085988 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
246.634: [GC (Allocation Failure) 246.634: [DefNew: 35250K->298K(39296K), 0.0081827 secs] 80257K->45305K(126720K), 0.0083850 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
246.903: [GC (Allocation Failure) 246.903: [DefNew: 35242K->328K(39296K), 0.0083537 secs] 80249K->45336K(126720K), 0.0085445 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
247.181: [GC (Allocation Failure) 247.181: [DefNew: 35272K->320K(39296K), 0.0090897 secs] 80280K->45328K(126720K), 0.0093008 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
247.426: [GC (Allocation Failure) 247.426: [DefNew: 35264K->342K(39296K), 0.0093757 secs] 80272K->45349K(126720K), 0.0095834 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
247.695: [GC (Allocation Failure) 247.695: [DefNew: 35286K->303K(39296K), 0.0084519 secs] 80293K->45314K(126720K), 0.0086665 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
247.946: [GC (Allocation Failure) 247.946: [DefNew: 35247K->291K(39296K), 0.0075745 secs] 80258K->45314K(126720K), 0.0077762 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
248.202: [GC (Allocation Failure) 248.202: [DefNew: 35232K->270K(39296K), 0.0073885 secs] 80255K->45319K(126720K), 0.0075914 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
248.440: [GC (Allocation Failure) 248.440: [DefNew: 35206K->214K(39296K), 0.0074967 secs] 80256K->45316K(126720K), 0.0076956 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
248.700: [GC (Allocation Failure) 248.700: [DefNew: 35158K->165K(39296K), 0.0071177 secs] 80260K->45337K(126720K), 0.0073066 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
248.957: [GC (Allocation Failure) 248.957: [DefNew: 35109K->110K(39296K), 0.0071664 secs] 80281K->45343K(126720K), 0.0073537 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
249.213: [GC (Allocation Failure) 249.213: [DefNew: 35054K->115K(39296K), 0.0081135 secs] 80287K->45381K(126720K), 0.0083292 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
249.588: [GC (Allocation Failure) 249.588: [DefNew: 35059K->156K(39296K), 0.0080715 secs] 80325K->45435K(126720K), 0.0082963 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
249.873: [GC (Allocation Failure) 249.873: [DefNew: 35100K->236K(39296K), 0.0086813 secs] 80379K->45517K(126720K), 0.0088854 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
250.137: [GC (Allocation Failure) 250.137: [DefNew: 35180K->275K(39296K), 0.0086615 secs] 80461K->45557K(126720K), 0.0088777 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
250.380: [GC (Allocation Failure) 250.380: [DefNew: 35219K->309K(39296K), 0.0089471 secs] 80501K->45593K(126720K), 0.0091760 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
250.713: [GC (Allocation Failure) 250.714: [DefNew: 35253K->303K(39296K), 0.0087061 secs] 80537K->45591K(126720K), 0.0089157 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
250.957: [GC (Allocation Failure) 250.957: [DefNew: 35247K->300K(39296K), 0.0085590 secs] 80535K->45589K(126720K), 0.0087568 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
251.202: [GC (Allocation Failure) 251.202: [DefNew: 35244K->310K(39296K), 0.0089467 secs] 80533K->45602K(126720K), 0.0091546 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
251.521: [GC (Allocation Failure) 251.521: [DefNew: 35254K->297K(39296K), 0.0085510 secs] 80546K->45589K(126720K), 0.0087513 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
251.798: [GC (Allocation Failure) 251.798: [DefNew: 35241K->297K(39296K), 0.0086114 secs] 80533K->45592K(126720K), 0.0088199 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
252.046: [GC (Allocation Failure) 252.047: [DefNew: 35241K->303K(39296K), 0.0088881 secs] 80536K->45602K(126720K), 0.0091046 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
252.285: [GC (Allocation Failure) 252.285: [DefNew: 35247K->296K(39296K), 0.0087002 secs] 80546K->45597K(126720K), 0.0088950 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
252.602: [GC (Allocation Failure) 252.603: [DefNew: 35240K->290K(39296K), 0.0086060 secs] 80541K->45594K(126720K), 0.0088026 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
252.851: [GC (Allocation Failure) 252.851: [DefNew: 35234K->280K(39296K), 0.0082247 secs] 80538K->45594K(126720K), 0.0084221 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
253.093: [GC (Allocation Failure) 253.093: [DefNew: 35224K->260K(39296K), 0.0087034 secs] 80538K->45591K(126720K), 0.0089458 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
253.339: [GC (Allocation Failure) 253.340: [DefNew: 35204K->226K(39296K), 0.0075198 secs] 80535K->45593K(126720K), 0.0077086 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
253.583: [GC (Allocation Failure) 253.583: [DefNew: 35170K->168K(39296K), 0.0082370 secs] 80537K->45594K(126720K), 0.0084314 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
253.828: [GC (Allocation Failure) 253.828: [DefNew: 35112K->106K(39296K), 0.0072645 secs] 80538K->45609K(126720K), 0.0074568 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
254.091: [GC (Allocation Failure) 254.091: [DefNew: 35050K->97K(39296K), 0.0071407 secs] 80553K->45639K(126720K), 0.0073350 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
254.387: [GC (Allocation Failure) 254.387: [DefNew: 35041K->124K(39296K), 0.0073752 secs] 80583K->45697K(126720K), 0.0075900 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
